# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
139               	-1.0324203427e-04	1.0261216209e-02	5.9666499115e-04	1.9509046130e-04	4.0157452985e-04
140               	-1.0292040386e-04	1.0254783899e-02	5.8921979319e-04	1.9168949274e-04	3.9753030045e-04
141               	-1.0250472375e-04	1.0247438950e-02	5.8212816216e-04	1.8855935733e-04	3.9356880484e-04
142               	-1.0190392254e-04	1.0239080718e-02	5.7521449602e-04	1.8570332547e-04	3.8951117055e-04
143               	-1.0121050485e-04	1.0230770424e-02	5.6816500525e-04	1.8287199777e-04	3.8529300747e-04
144               	-1.0088126946e-04	1.0222655976e-02	5.6180764714e-04	1.8002255411e-04	3.8178509303e-04
145               	-1.0122396842e-04	1.0213839322e-02	5.5714043501e-04	1.7734624908e-04	3.7979418593e-04
146               	-1.0218352379e-04	1.0204092127e-02	5.5435710540e-04	1.7499502891e-04	3.7936207649e-04
147               	-1.0334699597e-04	1.0194562046e-02	5.5239606083e-04	1.7285103445e-04	3.7954502638e-04
148               	-1.0425560435e-04	1.0186456532e-02	5.4985372685e-04	1.7067125908e-04	3.7918246778e-04
149               	-1.0478607154e-04	1.0179572189e-02	5.4632596051e-04	1.6837690872e-04	3.7794905179e-04
150               	-1.0506464903e-04	1.0172468659e-02	5.4228230020e-04	1.6607650107e-04	3.7620579913e-04
151               	-1.0528748646e-04	1.0164242694e-02	5.3838620034e-04	1.6390561371e-04	3.7448058663e-04
152               	-1.0553220159e-04	1.0155398943e-02	5.3481190502e-04	1.6187375092e-04	3.7293815410e-04
153               	-1.0570288702e-04	1.0146844201e-02	5.3124193819e-04	1.5991808207e-04	3.7132385612e-04
154               	-1.0570582820e-04	1.0138726977e-02	5.2751828362e-04	1.5805331361e-04	3.6946497001e-04
155               	-1.0551719560e-04	1.0130561659e-02	5.2372103649e-04	1.5634332265e-04	3.6737771384e-04
156               	-1.0513586758e-04	1.0122169727e-02	5.1980138240e-04	1.5476482362e-04	3.6503655878e-04
157               	-1.0455420004e-04	1.0113927296e-02	5.1549197655e-04	1.5319178823e-04	3.6230018832e-04
158               	-1.0384203179e-04	1.0106126726e-02	5.1077299694e-04	1.5154446668e-04	3.5922853026e-04
159               	-1.0317402004e-04	1.0098526739e-02	5.0612827711e-04	1.4989011852e-04	3.5623815860e-04
160               	-1.0270474455e-04	1.0090706382e-02	5.0212308357e-04	1.4835679723e-04	3.5376628634e-04
161               	-1.0245936353e-04	1.0082618554e-02	4.9889944764e-04	1.4699036029e-04	3.5190908734e-04
162               	-1.0234986370e-04	1.0074531151e-02	4.9617043904e-04	1.4573535582e-04	3.5043508322e-04
163               	-1.0227581795e-04	1.0066574121e-02	4.9360147157e-04	1.4452491784e-04	3.4907655373e-04
164               	-1.0221869332e-04	1.0058603068e-02	4.9110230273e-04	1.4333245805e-04	3.4776984468e-04
165               	-1.0219290271e-04	1.0050509649e-02	4.8869745989e-04	1.4215582724e-04	3.4654163265e-04
166               	-1.0219126970e-04	1.0042443827e-02	4.8635713586e-04	1.4098729823e-04	3.4536983762e-04
167               	-1.0218605804e-04	1.0034616946e-02	4.8402452291e-04	1.3982620341e-04	3.4419831950e-04
168               	-1.0215268036e-04	1.0027013264e-02	4.8171313829e-04	1.3870388878e-04	3.4300924951e-04
169               	-1.0207816791e-04	1.0019416940e-02	4.7949057330e-04	1.3766711874e-04	3.4182345456e-04
170               	-1.0137976270e-04	1.0013551194e-02	4.7302893843e-04	1.3513470651e-04	3.3789423191e-04
171               	-1.0156553181e-04	1.0001028491e-02	4.7262556068e-04	1.3474724853e-04	3.3787831215e-04
172               	-1.0197648524e-04	9.9873989347e-03	4.7457202041e-04	1.3530952497e-04	3.3926249544e-04
173               	-1.0172951321e-04	9.9799370307e-03	4.7385986178e-04	1.3520041768e-04	3.3865944410e-04
174               	-1.0078951572e-04	9.9779964184e-03	4.6957524998e-04	1.3399810927e-04	3.3557714071e-04
175               	-9.9840804875e-05	9.9748704795e-03	4.6451704072e-04	1.3241771548e-04	3.3209932523e-04
176               	-9.9446550726e-05	9.9662613136e-03	4.6151906025e-04	1.3131297940e-04	3.3020608085e-04
177               	-9.9509557253e-05	9.9542325427e-03	4.6078783081e-04	1.3088435815e-04	3.2990347266e-04
178               	-9.9512372728e-05	9.9436403095e-03	4.6044415508e-04	1.3070970481e-04	3.2973445027e-04
