# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
522               	1.5565474583e-05	5.1262020397e-06	7.3087493301e-05	2.8998204109e-06	1.3237179498e-07
523               	1.5488430740e-05	5.1135073418e-06	7.2754976796e-05	2.8939015940e-06	1.3199703099e-07
524               	1.5409344684e-05	5.1008636983e-06	7.2417812732e-05	2.8880004438e-06	1.3162644518e-07
525               	1.5329629873e-05	5.0882752476e-06	7.2090700193e-05	2.8821167495e-06	1.3125689141e-07
526               	1.5253483833e-05	5.0757422069e-06	7.1759195190e-05	2.8762497351e-06	1.3088899214e-07
527               	1.5178449854e-05	5.0632593203e-06	7.1433446705e-05	2.8704000863e-06	1.3052457610e-07
528               	1.5101784207e-05	5.0508226220e-06	7.1110513745e-05	2.8645661892e-06	1.3015878778e-07
529               	1.5041701343e-05	5.0384294529e-06	7.0791996959e-05	2.8587463126e-06	1.2979263851e-07
530               	1.4968148114e-05	5.0260786754e-06	7.0470559308e-05	2.8529403469e-06	1.2942658442e-07
531               	1.4885795918e-05	5.0137663464e-06	7.0152235835e-05	2.8471493201e-06	1.2905950777e-07
532               	1.4824659404e-05	5.0014933406e-06	6.9836116376e-05	2.8413742489e-06	1.2869216065e-07
533               	1.4762328087e-05	4.9892634576e-06	6.9521577001e-05	2.8356145774e-06	1.2832916552e-07
534               	1.4686738707e-05	4.9770812703e-06	6.9206814849e-05	2.8298701269e-06	1.2796865977e-07
535               	1.4623064728e-05	4.9649479917e-06	6.8893288418e-05	2.8241412329e-06	1.2761016108e-07
536               	1.4559026724e-05	4.9528637888e-06	6.8582400215e-05	2.8184280726e-06	1.2725221456e-07
537               	1.4483831946e-05	4.9408293234e-06	6.8273097404e-05	2.8127312638e-06	1.2689395474e-07
538               	1.4418677522e-05	4.9288429519e-06	6.7965460828e-05	2.8070530692e-06	1.2653736213e-07
539               	1.4357500039e-05	4.9169044697e-06	6.7659434975e-05	2.8013956482e-06	1.2618277967e-07
540               	1.4291172312e-05	4.9050038743e-06	6.7357892668e-05	2.7957473582e-06	1.2583277721e-07
541               	1.4227914882e-05	4.8931280292e-06	6.7054740990e-05	2.7901122618e-06	1.2548566484e-07
542               	1.4173955788e-05	4.8812911658e-06	6.6752170068e-05	2.7844928292e-06	1.2513994641e-07
543               	1.4112890137e-05	4.8694980917e-06	6.6452073422e-05	2.7788897185e-06	1.2479543895e-07
544               	1.4047392690e-05	4.8577658654e-06	6.6152883000e-05	2.7733023855e-06	1.2445267370e-07
545               	1.3992543227e-05	4.8460847665e-06	6.5859443988e-05	2.7677261583e-06	1.2411561834e-07
546               	1.3939868392e-05	4.8344541442e-06	6.5563584201e-05	2.7621594537e-06	1.2377671402e-07
547               	1.3881124751e-05	4.8228796827e-06	6.5276147364e-05	2.7566054598e-06	1.2343790593e-07
548               	1.3824973616e-05	4.8113721144e-06	6.4985219092e-05	2.7510692790e-06	1.2309610764e-07
549               	1.3776343243e-05	4.7999177041e-06	6.4692165758e-05	2.7455526850e-06	1.2275805341e-07
550               	1.3721199834e-05	4.7885050075e-06	6.4395228129e-05	2.7400496316e-06	1.2242299465e-07
551               	1.3664941797e-05	4.7771391253e-06	6.4102131646e-05	2.7345589549e-06	1.2208638969e-07
552               	1.3611169961e-05	4.7658167517e-06	6.3809210874e-05	2.7290889691e-06	1.2175035823e-07
553               	1.3557404650e-05	4.7545431045e-06	6.3520673257e-05	2.7236379261e-06	1.2141883712e-07
554               	1.3499554833e-05	4.7433119338e-06	6.3233517568e-05	2.7182034032e-06	1.2109086050e-07
555               	1.3442659098e-05	4.7321156835e-06	6.2947839067e-05	2.7127840743e-06	1.2076425624e-07
556               	1.3391070606e-05	4.7209570779e-06	6.2666183185e-05	2.7073798346e-06	1.2043839409e-07
557               	1.3340246234e-05	4.7098388460e-06	6.2384071806e-05	2.7019907434e-06	1.2011315169e-07
558               	1.3287221410e-05	4.6987593981e-06	6.2104544248e-05	2.6966168927e-06	1.1978845370e-07
559               	1.3234145391e-05	4.6877170001e-06	6.1824793947e-05	2.6912603644e-06	1.1946194269e-07
560               	1.3180941729e-05	4.6767116839e-06	6.1543374631e-05	2.6859242614e-06	1.1913380324e-07
561               	1.3131887399e-05	4.6657440124e-06	6.1265747244e-05	2.6806094527e-06	1.1880538366e-07
562               	1.3082115466e-05	4.6548124288e-06	6.0992777302e-05	2.6753129440e-06	1.1848049129e-07
563               	1.3035980006e-05	4.6439166372e-06	6.0721691623e-05	2.6700297770e-06	1.1816131523e-07
564               	1.2989232403e-05	4.6330552623e-06	6.0449557214e-05	2.6647593528e-06	1.1783973823e-07
565               	1.2940462340e-05	4.6222251203e-06	6.0178540834e-05	2.6595029462e-06	1.1751902905e-07
566               	1.2893378975e-05	4.6114275419e-06	5.9909575817e-05	2.6542596731e-06	1.1720096755e-07
567               	1.2850554084e-05	4.6006653978e-06	5.9638758005e-05	2.6490287153e-06	1.1688479116e-07
568               	1.2807772642e-05	4.5899410748e-06	5.9369058733e-05	2.6438103531e-06	1.1656974002e-07
569               	1.2762508146e-05	4.5792562959e-06	5.9102253933e-05	2.6386047112e-06	1.1625574201e-07
570               	1.2716649578e-05	4.5686067113e-06	5.8838393135e-05	2.6334147519e-06	1.1594169298e-07
571               	1.2673152411e-05	4.5579977769e-06	5.8573493529e-05	2.6282423065e-06	1.1562824075e-07
572               	1.2631790282e-05	4.5474266942e-06	5.8309294145e-05	2.6230910166e-06	1.1531127945e-07
573               	1.2590521170e-05	4.5368950510e-06	5.8045342366e-05	2.6179619253e-06	1.1499782559e-07
574               	1.2547721740e-05	4.5264078368e-06	5.7782958436e-05	2.6128512086e-06	1.1468707708e-07
575               	1.2505961808e-05	4.5159590050e-06	5.7519390435e-05	2.6077559542e-06	1.1438048647e-07
576               	1.2466001480e-05	4.5055432091e-06	5.7258280110e-05	2.6026743665e-06	1.1407696316e-07
577               	1.2424376718e-05	4.4951682613e-06	5.6992776778e-05	2.5976056966e-06	1.1377452770e-07
578               	1.2382594140e-05	4.4848264035e-06	5.6739593083e-05	2.5925421580e-06	1.1347172489e-07
579               	1.2341185671e-05	4.4745171981e-06	5.6487706319e-05	2.5874901473e-06	1.1317013428e-07
580               	1.2300364339e-05	4.4642404499e-06	5.6231902261e-05	2.5824416506e-06	1.1286808007e-07
581               	1.2260025147e-05	4.4539976084e-06	5.5978681822e-05	2.5774066718e-06	1.1256774812e-07
582               	1.2221526030e-05	4.4437897902e-06	5.5728877082e-05	2.5723728015e-06	1.1227303045e-07
583               	1.2182494814e-05	4.4336171763e-06	5.5478007928e-05	2.5673405809e-06	1.1197665440e-07
584               	1.2145266011e-05	4.4234779864e-06	5.5233850638e-05	2.5623204242e-06	1.1168164589e-07
585               	1.2108386552e-05	4.4133703697e-06	5.4985685215e-05	2.5573105738e-06	1.1138758044e-07
586               	1.2070921925e-05	4.4032961186e-06	5.4737348438e-05	2.5523082861e-06	1.1109617517e-07
587               	1.2032954251e-05	4.3932616118e-06	5.4492571766e-05	2.5473158969e-06	1.1080333380e-07
588               	1.1992999339e-05	4.3832661469e-06	5.4247966880e-05	2.5423338916e-06	1.1051162668e-07
589               	1.1951986256e-05	4.3733086162e-06	5.4005518972e-05	2.5373637432e-06	1.1022085869e-07
590               	1.1912701722e-05	4.3633860880e-06	5.3763006361e-05	2.5324084697e-06	1.0993109542e-07
591               	1.1874090288e-05	4.3534971243e-06	5.3522647286e-05	2.5274685477e-06	1.0964204241e-07
592               	1.1835072034e-05	4.3436423923e-06	5.3282659529e-05	2.5225438758e-06	1.0935421049e-07
593               	1.1796308294e-05	4.3338221381e-06	5.3042777698e-05	2.5176341029e-06	1.0906738843e-07
594               	1.1757500801e-05	4.3240340418e-06	5.2802716675e-05	2.5127391471e-06	1.0878127644e-07
595               	1.1716746333e-05	4.3142801800e-06	5.2560412104e-05	2.5078590249e-06	1.0849593281e-07
596               	1.1669944286e-05	4.3045657205e-06	5.2309543555e-05	2.5029933714e-06	1.0821167715e-07
597               	1.1625711159e-05	4.2948885713e-06	5.2076512885e-05	2.4981420749e-06	1.0792856535e-07
598               	1.1584989188e-05	4.2852431127e-06	5.1847425936e-05	2.4933037558e-06	1.0764605757e-07
599               	1.1546996149e-05	4.2756283912e-06	5.1617096202e-05	2.4884766693e-06	1.0736364292e-07
600               	1.1509757541e-05	4.2660483739e-06	5.1384441696e-05	2.4836619243e-06	1.0708135331e-07
601               	1.1472063984e-05	4.2565032285e-06	5.1157321827e-05	2.4788612696e-06	1.0680094913e-07
602               	1.1434306448e-05	4.2469888560e-06	5.0925365943e-05	2.4740759815e-06	1.0652192977e-07
603               	1.1395852168e-05	4.2375094270e-06	5.0698211141e-05	2.4693058030e-06	1.0624368183e-07
604               	1.1357491908e-05	4.2280707531e-06	5.0465723825e-05	2.4645506200e-06	1.0596674576e-07
605               	1.1321769429e-05	4.2186700654e-06	5.0244114155e-05	2.4598102214e-06	1.0569105331e-07
606               	1.1288040720e-05	4.2093085298e-06	5.0020370934e-05	2.4550843832e-06	1.0541704444e-07
607               	1.1259215253e-05	4.1999923770e-06	4.9799243542e-05	2.4503720627e-06	1.0514196262e-07
608               	1.1232150610e-05	4.1907108985e-06	4.9579210738e-05	2.4456694714e-06	1.0486743116e-07
609               	1.1204556220e-05	4.1814661817e-06	4.9358941979e-05	2.4409798612e-06	1.0459735705e-07
610               	1.1174068666e-05	4.1722572983e-06	4.9135546062e-05	2.4363041404e-06	1.0432881769e-07
611               	1.1142763497e-05	4.1631019605e-06	4.8912794518e-05	2.4316414625e-06	1.0406206377e-07
612               	1.1110862645e-05	4.1539817189e-06	4.8689688740e-05	2.4269916565e-06	1.0379587854e-07
613               	1.1076655579e-05	4.1448991071e-06	4.8467555349e-05	2.4223546505e-06	1.0353015912e-07
614               	1.1038850862e-05	4.1358518228e-06	4.8244932461e-05	2.4177303471e-06	1.0326607417e-07
615               	1.0998412170e-05	4.1268322192e-06	4.8026515424e-05	2.4131188326e-06	1.0300303667e-07
616               	1.0958693907e-05	4.1178386722e-06	4.7810684121e-05	2.4085202457e-06	1.0274281288e-07
617               	1.0920902076e-05	4.1088726204e-06	4.7596176329e-05	2.4039343205e-06	1.0248411071e-07
618               	1.0883015806e-05	4.0999356865e-06	4.7381119477e-05	2.3993577301e-06	1.0222614144e-07
619               	1.0844809503e-05	4.0910259527e-06	4.7159395813e-05	2.3947903320e-06	1.0196888546e-07
620               	1.0807756699e-05	4.0821520937e-06	4.6951160749e-05	2.3902359122e-06	1.0171186316e-07
621               	1.0771799722e-05	4.0733131837e-06	4.6745152648e-05	2.3856938463e-06	1.0145524956e-07
622               	1.0736433394e-05	4.0645017649e-06	4.6533644711e-05	2.3811593088e-06	1.0119970318e-07
623               	1.0703803035e-05	4.0557161601e-06	4.6326193866e-05	2.3766346650e-06	1.0094485035e-07
624               	1.0670820560e-05	4.0469602056e-06	4.6127463931e-05	2.3721231913e-06	1.0069027528e-07
625               	1.0637997101e-05	4.0382368211e-06	4.5922232226e-05	2.3676244760e-06	1.0043589485e-07
626               	1.0606701995e-05	4.0295419480e-06	4.5712980596e-05	2.3631382408e-06	1.0018193693e-07
627               	1.0577963954e-05	4.0208757610e-06	4.5507752923e-05	2.3586645461e-06	9.9928397010e-08
628               	1.0551378949e-05	4.0122385868e-06	4.5304833584e-05	2.3542034070e-06	9.9675279226e-08
629               	1.0528108503e-05	4.0036316899e-06	4.5103063110e-05	2.3497547816e-06	9.9422780175e-08
630               	1.0508088861e-05	3.9950547968e-06	4.4901816605e-05	2.3453186428e-06	9.9171258233e-08
631               	1.0490927448e-05	3.9865068274e-06	4.4700726381e-05	2.3409219740e-06	9.8923330644e-08
632               	1.0478093591e-05	3.9779876529e-06	4.4499930785e-05	2.3365397562e-06	9.8676652166e-08
633               	1.0466070192e-05	3.9694968240e-06	4.4299666160e-05	2.3321447519e-06	9.8430640045e-08
634               	1.0463550485e-05	3.9621578246e-06	4.4015610312e-05	2.3278144345e-06	9.8180683707e-08
635               	1.0438434246e-05	3.9524708606e-06	4.3873608590e-05	2.3234021153e-06	9.7936758325e-08
636               	1.0429387964e-05	3.9451278513e-06	4.3677040754e-05	2.3190528013e-06	9.7688526990e-08
637               	1.0396168665e-05	3.9355637809e-06	4.3564054572e-05	2.3146479881e-06	9.7444847826e-08
638               	1.0361868883e-05	3.9278235341e-06	4.3309006002e-05	2.3103346220e-06	9.7195652713e-08
639               	1.0300110561e-05	3.9181888967e-06	4.3127866395e-05	2.3059846197e-06	9.6948894200e-08
640               	1.0254593811e-05	3.9100830267e-06	4.2967925571e-05	2.3016368122e-06	9.6705012747e-08
641               	1.0227530008e-05	3.9033810379e-06	4.2695557047e-05	2.2973810563e-06	9.6458248993e-08
642               	1.0184558499e-05	3.8941552320e-06	4.2532349768e-05	2.2930629943e-06	9.6215968646e-08
643               	1.0167299918e-05	3.8869821109e-06	4.2317797078e-05	2.2888084401e-06	9.5969417203e-08
644               	1.0133451484e-05	3.8777789436e-06	4.2205907610e-05	2.2844941399e-06	9.5728823119e-08
645               	1.0107725941e-05	3.8702827311e-06	4.1964675037e-05	2.2802642230e-06	9.5484711822e-08
646               	1.0057103721e-05	3.8608423359e-06	4.1803712088e-05	2.2759894217e-06	9.5244590682e-08
647               	1.0026431330e-05	3.8536700636e-06	4.1551311225e-05	2.2717944226e-06	9.5000569500e-08
648               	9.9838683483e-06	3.8448971320e-06	4.1399093219e-05	2.2675425505e-06	9.4762665916e-08
649               	9.9615120382e-06	3.8380806676e-06	4.1186948976e-05	2.2633629260e-06	9.4521983923e-08
650               	9.9213277574e-06	3.8291915484e-06	4.1068719208e-05	2.2591293021e-06	9.4286439096e-08
651               	9.8874477793e-06	3.8219326066e-06	4.0838630507e-05	2.2549739680e-06	9.4046764815e-08
652               	9.8369865147e-06	3.8128383473e-06	4.0686460186e-05	2.2507681550e-06	9.3811030753e-08
653               	9.8019306184e-06	3.8057835100e-06	4.0448505630e-05	2.2466368802e-06	9.3572552190e-08
654               	9.7599830085e-06	3.7970695237e-06	4.0315015136e-05	2.2424485660e-06	9.3339957979e-08
655               	9.7406779775e-06	3.7902015100e-06	4.0098930767e-05	2.2383305207e-06	9.3104297839e-08
656               	9.7086000192e-06	3.7814792911e-06	3.9971765316e-05	2.2341586985e-06	9.2872957006e-08
657               	9.6887150218e-06	3.7744868047e-06	3.9748978705e-05	2.2300596038e-06	9.2638501598e-08
658               	9.6492119055e-06	3.7657443682e-06	3.9610953917e-05	2.2259098292e-06	9.2408686199e-08
659               	9.6248726774e-06	3.7588293083e-06	3.9386399656e-05	2.2218312922e-06	9.2175825423e-08
660               	9.5794233394e-06	3.7502465314e-06	3.9251811177e-05	2.2177032080e-06	9.1945970347e-08
661               	9.5490714614e-06	3.7434100118e-06	3.9031656405e-05	2.2136484520e-06	9.1709731584e-08
662               	9.5045113818e-06	3.7348645360e-06	3.8899180021e-05	2.2095510285e-06	9.1478153954e-08
663               	9.4763740285e-06	3.7280285844e-06	3.8680431135e-05	2.2055289713e-06	9.1244764657e-08
664               	9.4330191415e-06	3.7195277161e-06	3.8548130766e-05	2.2014631950e-06	9.1020380229e-08
665               	9.4047230083e-06	3.7127422848e-06	3.8331919348e-05	2.1974669769e-06	9.0794949981e-08
666               	9.3621725846e-06	3.7043287119e-06	3.8202024804e-05	2.1934225553e-06	9.0575977411e-08
667               	9.3308801735e-06	3.6975900691e-06	3.7988537533e-05	2.1894439821e-06	9.0354943880e-08
668               	9.2860502837e-06	3.6892319237e-06	3.7866354535e-05	2.1854176399e-06	9.0138133552e-08
669               	9.2596507888e-06	3.6825287588e-06	3.7657184810e-05	2.1814594028e-06	8.9917010113e-08
670               	9.2222873131e-06	3.6742291651e-06	3.7531534563e-05	2.1774557563e-06	8.9699938821e-08
671               	9.1996501406e-06	3.6675754235e-06	3.7319578155e-05	2.1735128540e-06	8.9477387442e-08
672               	9.1667110824e-06	3.6601582150e-06	3.7112805007e-05	2.1695889034e-06	8.9252998279e-08
673               	9.1280628093e-06	3.6519133057e-06	3.7036749116e-05	2.1656044657e-06	8.9036665742e-08
674               	9.1051604109e-06	3.6454087252e-06	3.6847817215e-05	2.1616850432e-06	8.8817790949e-08
675               	9.0682415896e-06	3.6378801457e-06	3.6632024970e-05	2.1577991363e-06	8.8597800814e-08
676               	9.0227558152e-06	3.6294854287e-06	3.6520500299e-05	2.1538605121e-06	8.8382620184e-08
677               	9.0018742724e-06	3.6232141618e-06	3.6329673416e-05	2.1499801102e-06	8.8166284005e-08
678               	8.9751414184e-06	3.6161361204e-06	3.6132394278e-05	2.1461213008e-06	8.7949835692e-08
679               	8.9398568201e-06	3.6080496191e-06	3.6050110428e-05	2.1422054875e-06	8.7737508413e-08
680               	8.9194256600e-06	3.6016659540e-06	3.5862683932e-05	2.1383495457e-06	8.7523196124e-08
681               	8.8860636807e-06	3.5943737912e-06	3.5647044045e-05	2.1345189832e-06	8.7307806436e-08
682               	8.8445110055e-06	3.5862507908e-06	3.5543285259e-05	2.1306357692e-06	8.7096141837e-08
683               	8.8260155998e-06	3.5800673652e-06	3.5358936496e-05	2.1268094669e-06	8.6882966300e-08
684               	8.7983865467e-06	3.5730488721e-06	3.5158184379e-05	2.1230053781e-06	8.6669400325e-08
685               	8.7604297847e-06	3.5651072416e-06	3.5069177260e-05	2.1191516763e-06	8.6462018276e-08
686               	8.7423827816e-06	3.5588831105e-06	3.4891503523e-05	2.1153579221e-06	8.6256672653e-08
687               	8.7128492591e-06	3.5518061637e-06	3.4690549664e-05	2.1115903385e-06	8.6051632501e-08
688               	8.6746588303e-06	3.5438958317e-06	3.4596593303e-05	2.1077742040e-06	8.5848998790e-08
689               	8.6550589756e-06	3.5377838725e-06	3.4416028343e-05	2.1040123913e-06	8.5643084993e-08
690               	8.6252202555e-06	3.5308525580e-06	3.4222929663e-05	2.1002645786e-06	8.5436035101e-08
691               	8.5939102025e-06	3.5237750814e-06	3.4058349291e-05	2.0965131012e-06	8.5228352540e-08
692               	8.5693354602e-06	3.5169501485e-06	3.3933920641e-05	2.0927561457e-06	8.5021215358e-08
693               	8.5490955750e-06	3.5100781554e-06	3.3811869544e-05	2.0890045382e-06	8.4814371990e-08
694               	8.5239760717e-06	3.5029428824e-06	3.3660362885e-05	2.0852684032e-06	8.4607197428e-08
695               	8.4925700853e-06	3.4957824342e-06	3.3487484008e-05	2.0815491219e-06	8.4399481375e-08
696               	8.4620875032e-06	3.4889103781e-06	3.3320165703e-05	2.0778398631e-06	8.4190417717e-08
697               	8.4382720349e-06	3.4823113353e-06	3.3174101703e-05	2.0741367455e-06	8.3981005687e-08
698               	8.4182349195e-06	3.4757185162e-06	3.3040493272e-05	2.0704390509e-06	8.3773044731e-08
699               	8.3977588183e-06	3.4689331364e-06	3.2901758729e-05	2.0667536439e-06	8.3567082318e-08
700               	8.3760140464e-06	3.4620076401e-06	3.2751707766e-05	2.0630811803e-06	8.3361814091e-08
701               	8.3546241640e-06	3.4551226315e-06	3.2595425841e-05	2.0594207395e-06	8.3157161265e-08
702               	8.3338215583e-06	3.4483884397e-06	3.2442019338e-05	2.0557703597e-06	8.2953255511e-08
703               	8.3153602991e-06	3.4417662671e-06	3.2295289715e-05	2.0521286349e-06	8.2750188335e-08
704               	8.2990788369e-06	3.4351559647e-06	3.2152742518e-05	2.0484956813e-06	8.2547820871e-08
705               	8.2789168901e-06	3.4284979326e-06	3.2009460300e-05	2.0448724962e-06	8.2345947769e-08
706               	8.2487977493e-06	3.4218124102e-06	3.1861199845e-05	2.0412595487e-06	8.2144597746e-08
707               	8.2137501576e-06	3.4151503915e-06	3.1720118584e-05	2.0376563900e-06	8.1944311316e-08
708               	8.1817159721e-06	3.4085454067e-06	3.1579313350e-05	2.0340622958e-06	8.1744682902e-08
709               	8.1512615450e-06	3.4019892617e-06	3.1430557734e-05	2.0304768834e-06	8.1545564242e-08
710               	8.1245407249e-06	3.3954541767e-06	3.1281023181e-05	2.0269003405e-06	8.1346916762e-08
711               	8.1020830703e-06	3.3889267255e-06	3.1136312570e-05	2.0233329402e-06	8.1148716605e-08
712               	8.0804098278e-06	3.3824079137e-06	3.0994753643e-05	2.0197749300e-06	8.0950977980e-08
713               	8.0569225633e-06	3.3759098251e-06	3.0853196577e-05	2.0162261085e-06	8.0754247592e-08
714               	8.0315171561e-06	3.3694372433e-06	3.0713694147e-05	2.0126861710e-06	8.0557917687e-08
715               	8.0046960733e-06	3.3629864011e-06	3.0578225851e-05	2.0091549089e-06	8.0362051935e-08
716               	7.9747593361e-06	3.3565543582e-06	3.0440377571e-05	2.0056323259e-06	8.0166810449e-08
717               	7.9431431978e-06	3.3501396760e-06	3.0302831868e-05	2.0021186833e-06	7.9972575664e-08
718               	7.9135640236e-06	3.3437430967e-06	3.0165974195e-05	1.9986141505e-06	7.9778920933e-08
719               	7.8869125830e-06	3.3373658033e-06	3.0029109242e-05	1.9951185645e-06	7.9585705205e-08
720               	7.8608977881e-06	3.3310087316e-06	2.9893337049e-05	1.9916318126e-06	7.9393713624e-08
721               	7.8350205081e-06	3.3246716481e-06	2.9758437156e-05	1.9881537702e-06	7.9202374210e-08
722               	7.8078866309e-06	3.3183535920e-06	2.9624358689e-05	1.9846829609e-06	7.9012746514e-08
723               	7.7794601437e-06	3.3120547908e-06	2.9491228577e-05	1.9812192094e-06	7.8824762104e-08
724               	7.7522634511e-06	3.3057764454e-06	2.9358808053e-05	1.9777614490e-06	7.8636529817e-08
725               	7.7263413892e-06	3.2995193421e-06	2.9226734671e-05	1.9743111169e-06	7.8448728639e-08
726               	7.7010052967e-06	3.2932837030e-06	2.9094837222e-05	1.9708693675e-06	7.8261383183e-08
727               	7.6755511482e-06	3.2870686368e-06	2.8962359626e-05	1.9674378594e-06	7.8074995963e-08
728               	7.6504934547e-06	3.2808724417e-06	2.8831261201e-05	1.9640162623e-06	7.7889388860e-08
729               	7.6246868733e-06	3.2746972226e-06	2.8700927958e-05	1.9606046722e-06	7.7702909237e-08
730               	7.5984363958e-06	3.2685438883e-06	2.8576345443e-05	1.9572032946e-06	7.7514711998e-08
731               	7.5725331299e-06	3.2624102413e-06	2.8450592890e-05	1.9538115139e-06	7.7330008554e-08
732               	7.5481574486e-06	3.2562973553e-06	2.8322633463e-05	1.9504284586e-06	7.7147131267e-08
733               	7.5236470427e-06	3.2502051915e-06	2.8193375922e-05	1.9470540139e-06	7.6965686010e-08
734               	7.4996819412e-06	3.2441316340e-06	2.8064110200e-05	1.9436880312e-06	7.6785058009e-08
735               	7.4756793575e-06	3.2380824321e-06	2.7935788373e-05	1.9403306463e-06	7.6604672523e-08
736               	7.4526824518e-06	3.2320519090e-06	2.7808724598e-05	1.9369820777e-06	7.6424618677e-08
737               	7.4295586100e-06	3.2260395235e-06	2.7682766507e-05	1.9336421457e-06	7.6244894178e-08
738               	7.4066142231e-06	3.2200474231e-06	2.7557568274e-05	1.9303108552e-06	7.6065463389e-08
739               	7.3830054688e-06	3.2140738299e-06	2.7427850112e-05	1.9269881643e-06	7.5886352488e-08
740               	7.3588173740e-06	3.2081188742e-06	2.7298256454e-05	1.9236739838e-06	7.5707675812e-08
741               	7.3345286433e-06	3.2021817335e-06	2.7173416321e-05	1.9203682979e-06	7.5529344712e-08
742               	7.3099720456e-06	3.1962636259e-06	2.7050847347e-05	1.9170710327e-06	7.5351341290e-08
743               	7.2855812098e-06	3.1903665159e-06	2.6928252102e-05	1.9137821502e-06	7.5173705913e-08
744               	7.2614919546e-06	3.1844899747e-06	2.6805996806e-05	1.9105015076e-06	7.4996417544e-08
745               	7.2377891537e-06	3.1786328328e-06	2.6684212285e-05	1.9072290575e-06	7.4819483026e-08
746               	7.2145651650e-06	3.1727927142e-06	2.6563114538e-05	1.9039647701e-06	7.4642883819e-08
747               	7.1921081947e-06	3.1669694915e-06	2.6444030209e-05	1.9007086880e-06	7.4466627020e-08
748               	7.1703798545e-06	3.1611618996e-06	2.6325151752e-05	1.8974607850e-06	7.4290934139e-08
749               	7.1488152167e-06	3.1553690468e-06	2.6205545331e-05	1.8942209220e-06	7.4115712765e-08
750               	7.1270792652e-06	3.1495946672e-06	2.6086405789e-05	1.8909891205e-06	7.3940949214e-08
751               	7.1051704723e-06	3.1438401046e-06	2.5968170271e-05	1.8877653247e-06	7.3766560132e-08
752               	7.0831646548e-06	3.1381051678e-06	2.5850766459e-05	1.8845495068e-06	7.3592506884e-08
753               	7.0609217557e-06	3.1323918623e-06	2.5736232981e-05	1.8813418976e-06	7.3418791304e-08
754               	7.0387290175e-06	3.1266968160e-06	2.5623246937e-05	1.8781422088e-06	7.3245463760e-08
755               	7.0168228515e-06	3.1210235093e-06	2.5508401020e-05	1.8749504290e-06	7.3072566612e-08
756               	6.9941560156e-06	3.1153721141e-06	2.5392270843e-05	1.8717665474e-06	7.2900043358e-08
757               	6.9707246270e-06	3.1097458847e-06	2.5276102989e-05	1.8685905500e-06	7.2727858028e-08
758               	6.9475709889e-06	3.1041376592e-06	2.5160888440e-05	1.8654224239e-06	7.2556011177e-08
759               	6.9247906096e-06	3.0985462882e-06	2.5047044155e-05	1.8622622895e-06	7.2384500275e-08
760               	6.9018856509e-06	3.0929719297e-06	2.4934321931e-05	1.8591100296e-06	7.2213325318e-08
761               	6.8794084373e-06	3.0874133782e-06	2.4822240853e-05	1.8559655932e-06	7.2042606165e-08
762               	6.8565351418e-06	3.0818693531e-06	2.4704431755e-05	1.8528267315e-06	7.1872450787e-08
763               	6.8343856059e-06	3.0763408917e-06	2.4591188697e-05	1.8496956783e-06	7.1702834004e-08
764               	6.8128659378e-06	3.0708289784e-06	2.4480613656e-05	1.8465712483e-06	7.1535475487e-08
765               	6.7914464479e-06	3.0653341513e-06	2.4371041680e-05	1.8434505395e-06	7.1370296183e-08
766               	6.7701842134e-06	3.0598561913e-06	2.4263046860e-05	1.8403341510e-06	7.1204009468e-08
767               	6.7495252660e-06	3.0543943219e-06	2.4153539204e-05	1.8372246933e-06	7.1037190144e-08
768               	6.7287358095e-06	3.0489493860e-06	2.4043457148e-05	1.8341231581e-06	7.0870179863e-08
769               	6.7078900920e-06	3.0435208071e-06	2.3934295107e-05	1.8310299380e-06	7.0703146938e-08
770               	6.6870689766e-06	3.0381085354e-06	2.3826064090e-05	1.8279452746e-06	7.0536313622e-08
771               	6.6660064700e-06	3.0327124242e-06	2.3717971813e-05	1.8248693123e-06	7.0369711719e-08
772               	6.6450124878e-06	3.0273324942e-06	2.3610551792e-05	1.8218022752e-06	7.0203659254e-08
773               	6.6242785600e-06	3.0219688746e-06	2.3503622572e-05	1.8187437876e-06	7.0037893388e-08
774               	6.6037442021e-06	3.0166221759e-06	2.3397263948e-05	1.8156946093e-06	6.9870919475e-08
775               	6.5833163101e-06	3.0112930019e-06	2.3291322731e-05	1.8126551564e-06	6.9703934198e-08
776               	6.5630934359e-06	3.0059796603e-06	2.3185678166e-05	1.8096241957e-06	6.9538217994e-08
777               	6.5429246756e-06	3.0006825783e-06	2.3080267946e-05	1.8066008582e-06	6.9373395010e-08
778               	6.5228198618e-06	2.9954017288e-06	2.2975480459e-05	1.8035851609e-06	6.9208599132e-08
779               	6.5028375219e-06	2.9901364980e-06	2.2873656994e-05	1.8005777321e-06	6.9042343380e-08
780               	6.4829708737e-06	2.9848850054e-06	2.2773621205e-05	1.7975784439e-06	6.8877860583e-08
781               	6.4632692163e-06	2.9796485133e-06	2.2672191687e-05	1.7945872158e-06	6.8714061513e-08
782               	6.4438988465e-06	2.9744267630e-06	2.2569797663e-05	1.7916043267e-06	6.8551037905e-08
783               	6.4248062352e-06	2.9692194098e-06	2.2467226715e-05	1.7886297981e-06	6.8388414114e-08
784               	6.4058130121e-06	2.9640271267e-06	2.2365155246e-05	1.7856630522e-06	6.8226663958e-08
