# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
91                	3.3256736917e-02	3.4056825845e-05	2.0931805763e-03	1.9129013463e-05	2.6507245036e-06
92                	3.3116920385e-02	3.4325668947e-05	2.0816274686e-03	1.9031812828e-05	2.5694401252e-06
93                	3.2400751141e-02	3.4371448795e-05	2.0210281336e-03	1.8911875982e-05	2.4912299401e-06
94                	3.0240719656e-02	3.4319640605e-05	1.9163675659e-03	1.8772476448e-05	2.4152936223e-06
95                	2.7748201523e-02	3.4052113877e-05	1.7904714626e-03	1.8630359055e-05	2.3421152038e-06
96                	2.6941039894e-02	3.3228013401e-05	1.6480275793e-03	1.8478101794e-05	2.2718148034e-06
97                	2.6613540343e-02	3.1724390780e-05	1.5176408702e-03	1.8305954469e-05	2.2055021813e-06
98                	2.5130140250e-02	2.9679029698e-05	1.4266810120e-03	1.8144320501e-05	2.1430578833e-06
99                	2.2607571962e-02	2.7597192409e-05	1.4083920178e-03	1.7972575044e-05	2.0892726274e-06
100               	2.0804495108e-02	3.0041703933e-05	1.9448785627e-03	1.7755436693e-05	2.0363300161e-06
101               	2.0307049149e-02	3.1291597347e-05	1.8782968192e-03	1.7513445785e-05	1.9731260128e-06
102               	1.9498912364e-02	2.9826481362e-05	1.5800555759e-03	1.7250345407e-05	1.9119092740e-06
103               	1.7846222520e-02	2.8328067897e-05	1.5271672321e-03	1.6983902875e-05	1.8588545693e-06
104               	1.6115958533e-02	2.9550415403e-05	1.6381188900e-03	1.6726429618e-05	1.8156244955e-06
105               	1.5388421426e-02	3.1527086880e-05	1.5379621233e-03	1.6474836219e-05	1.7744758566e-06
106               	1.5088112752e-02	3.1389116627e-05	1.3918608898e-03	1.6220087966e-05	1.7320979299e-06
107               	1.4372570099e-02	2.8424789872e-05	1.2557680643e-03	1.5948794042e-05	1.6874628712e-06
108               	1.3181696892e-02	2.4900481867e-05	1.2750568192e-03	1.5669506625e-05	1.6402327825e-06
109               	1.2214932671e-02	2.4469182412e-05	1.2720728070e-03	1.5395108405e-05	1.5917529383e-06
110               	1.1733339802e-02	2.4984032468e-05	1.2378699729e-03	1.5136351070e-05	1.5480576963e-06
111               	1.1389242858e-02	2.5004997989e-05	1.1684586439e-03	1.4887262019e-05	1.5107245744e-06
112               	1.0816786102e-02	2.4692680934e-05	1.1005010838e-03	1.4657713804e-05	1.4837353730e-06
113               	1.0077499394e-02	2.5014953916e-05	1.0637438797e-03	1.4401088998e-05	1.4515903384e-06
114               	9.4747202323e-03	2.5627386400e-05	1.0127693895e-03	1.4165911556e-05	1.4095053167e-06
