# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.00142         	1.08652257e-02	5.39955714e-03	1.23487044e-02	1.39975379e-02	1.83482056e-03	1.84820032e-04
0.00144         	1.09954917e-02	5.46253611e-03	1.22376952e-02	1.41636770e-02	1.81797948e-03	1.83579563e-04
0.00146         	1.11067492e-02	5.52624785e-03	1.21708132e-02	1.43100095e-02	1.79777934e-03	1.82435847e-04
0.00148         	1.12211092e-02	5.59381229e-03	1.21024913e-02	1.44363736e-02	1.77525369e-03	1.81378123e-04
0.0015          	1.13504690e-02	5.66241388e-03	1.20058360e-02	1.45772056e-02	1.75831156e-03	1.80323147e-04
0.00152         	1.14709440e-02	5.73212187e-03	1.19212748e-02	1.47275663e-02	1.74120965e-03	1.79135980e-04
0.00154         	1.15639721e-02	5.80018747e-03	1.18566489e-02	1.48541779e-02	1.72044841e-03	1.78040649e-04
0.00156         	1.16621313e-02	5.88323717e-03	1.17898216e-02	1.49537862e-02	1.70068942e-03	1.77038644e-04
0.00158         	1.17768485e-02	5.97594664e-03	1.16937707e-02	1.50797297e-02	1.68468111e-03	1.76157890e-04
0.0016          	1.18815582e-02	6.07812203e-03	1.16242059e-02	1.52069673e-02	1.66738397e-03	1.75210512e-04
0.00162         	1.19517458e-02	6.17911870e-03	1.15645838e-02	1.53171633e-02	1.64741922e-03	1.74234132e-04
0.00164         	1.20336476e-02	6.28501892e-03	1.14932123e-02	1.53850308e-02	1.62919591e-03	1.73310462e-04
0.00166         	1.21291036e-02	6.39906303e-03	1.14100347e-02	1.54827089e-02	1.61320681e-03	1.72468100e-04
0.00168         	1.22133112e-02	6.51540614e-03	1.13341576e-02	1.55871346e-02	1.59648391e-03	1.71731225e-04
0.0017          	1.22781788e-02	6.63216763e-03	1.12797081e-02	1.56683804e-02	1.57799735e-03	1.70832384e-04
0.00172         	1.23339236e-02	6.74477636e-03	1.12138736e-02	1.57259231e-02	1.56268096e-03	1.70010708e-04
0.00174         	1.24183342e-02	6.86531522e-03	1.11341897e-02	1.57885601e-02	1.54756239e-03	1.69235894e-04
0.00176         	1.24928851e-02	6.98614813e-03	1.10554637e-02	1.58821523e-02	1.53159416e-03	1.68562961e-04
0.00178         	1.25467456e-02	7.10488342e-03	1.10063982e-02	1.59435201e-02	1.51438626e-03	1.67917574e-04
0.0018          	1.26074129e-02	7.22399275e-03	1.09452562e-02	1.59956872e-02	1.50023082e-03	1.67136733e-04
0.00182         	1.26787076e-02	7.33892709e-03	1.08709213e-02	1.60465595e-02	1.48696214e-03	1.66471033e-04
0.00184         	1.27544643e-02	7.45779300e-03	1.07989767e-02	1.61281390e-02	1.47242612e-03	1.65855003e-04
0.00186         	1.28164349e-02	7.57416782e-03	1.07447906e-02	1.61987363e-02	1.45754906e-03	1.65323744e-04
0.00188         	1.28839819e-02	7.69318184e-03	1.06908463e-02	1.62552308e-02	1.44362469e-03	1.64711109e-04
0.0019          	1.29640191e-02	7.81044203e-03	1.06231429e-02	1.63167528e-02	1.43135695e-03	1.64121981e-04
0.00192         	1.30428165e-02	7.92378379e-03	1.05634520e-02	1.63984592e-02	1.41859683e-03	1.63603892e-04
0.00194         	1.31076001e-02	8.03538731e-03	1.05081314e-02	1.64710771e-02	1.40506112e-03	1.63142032e-04
0.00196         	1.31790888e-02	8.15286210e-03	1.04573411e-02	1.65295321e-02	1.39147867e-03	1.62704222e-04
0.00198         	1.32578660e-02	8.26837004e-03	1.03958536e-02	1.66040585e-02	1.37918819e-03	1.62175109e-04
0.002           	1.33400528e-02	8.38272462e-03	1.03425160e-02	1.63882811e-02	1.36756553e-03	1.61767575e-04
0.00202         	1.34179207e-02	8.49192385e-03	1.02928676e-02	1.61263434e-02	1.35611068e-03	1.61390901e-04
0.00204         	1.34791063e-02	8.59374259e-03	1.02459047e-02	1.58559409e-02	1.34425861e-03	1.61060199e-04
0.00206         	1.35552544e-02	8.70451221e-03	1.01924183e-02	1.55856628e-02	1.33244232e-03	1.60589080e-04
0.00208         	1.36470668e-02	8.81097517e-03	1.01322930e-02	1.53404034e-02	1.32128148e-03	1.60191810e-04
0.0021          	1.37306104e-02	8.91337220e-03	1.00846324e-02	1.51143061e-02	1.30988794e-03	1.59881571e-04
0.00212         	1.38057961e-02	9.01150960e-03	1.00453098e-02	1.48770951e-02	1.29809579e-03	1.59602558e-04
0.00214         	1.38800682e-02	9.10563185e-03	1.00029641e-02	1.46460597e-02	1.28701829e-03	1.59238574e-04
0.00216         	1.39632846e-02	9.19147819e-03	9.94262998e-03	1.44180632e-02	1.27666315e-03	1.58880543e-04
0.00218         	1.40535726e-02	9.28191685e-03	9.89043061e-03	1.42135839e-02	1.26651254e-03	1.58597416e-04
0.0022          	1.41444471e-02	9.36532094e-03	9.84856219e-03	1.40170364e-02	1.25643044e-03	1.58364010e-04
0.00222         	1.42181330e-02	9.27207145e-03	9.81414877e-03	1.38229763e-02	1.24600754e-03	1.58066029e-04
0.00224         	1.42943235e-02	9.11996160e-03	9.77202882e-03	1.36178563e-02	1.23539376e-03	1.57688735e-04
0.00226         	1.43894477e-02	8.97546161e-03	9.71893422e-03	1.34311263e-02	1.22521897e-03	1.57334020e-04
0.00228         	1.44828989e-02	8.83224399e-03	9.66277194e-03	1.32606583e-02	1.21568726e-03	1.57032065e-04
0.0023          	1.45684187e-02	8.70198275e-03	9.62831984e-03	1.30944353e-02	1.20597331e-03	1.56657733e-04
0.00232         	1.46468516e-02	8.57961816e-03	9.59594134e-03	1.29244206e-02	1.19593557e-03	1.56243950e-04
0.00234         	1.47164935e-02	8.46180744e-03	9.55827022e-03	1.27577077e-02	1.18604643e-03	1.55896523e-04
0.00236         	1.48016870e-02	8.34445315e-03	9.50832524e-03	1.25899750e-02	1.17589089e-03	1.55592412e-04
0.00238         	1.46625192e-02	8.23681373e-03	9.45750262e-03	1.24485052e-02	1.16668233e-03	1.55250785e-04
0.0024          	1.44616295e-02	8.12614464e-03	9.41803476e-03	1.23097704e-02	1.15740736e-03	1.54866311e-04
0.00242         	1.42462301e-02	8.02550288e-03	9.38976780e-03	1.21712729e-02	1.14852736e-03	1.54551658e-04
0.00244         	1.40334743e-02	7.92961583e-03	9.35750249e-03	1.20245858e-02	1.13936363e-03	1.54281438e-04
0.00246         	1.38397571e-02	7.83951949e-03	9.31675406e-03	1.18791335e-02	1.12978623e-03	1.54039070e-04
0.00248         	1.36593367e-02	7.75107941e-03	9.26529169e-03	1.17496679e-02	1.12000957e-03	1.53577238e-04
0.0025          	1.34887334e-02	7.66380018e-03	9.22809874e-03	1.16312108e-02	1.11117082e-03	1.53249727e-04
0.00252         	1.33201310e-02	7.57863356e-03	9.20017887e-03	1.15188723e-02	1.10259117e-03	1.52960993e-04
0.00254         	1.31464436e-02	7.49528257e-03	9.16889588e-03	1.14001788e-02	1.09438859e-03	1.52728457e-04
0.00256         	1.29692154e-02	7.42045947e-03	9.13734721e-03	1.12771547e-02	1.08608723e-03	1.52534980e-04
0.00258         	1.28151048e-02	7.34631174e-03	9.09358294e-03	1.11563239e-02	1.07715096e-03	1.52421227e-04
0.0026          	1.26747146e-02	7.27693142e-03	9.04997022e-03	1.10547145e-02	1.06943694e-03	1.53676881e-04
0.00262         	1.25330036e-02	7.20694193e-03	9.02184061e-03	1.09569206e-02	1.06172093e-03	1.53506867e-04
0.00264         	1.23908358e-02	7.14080790e-03	8.99742118e-03	1.08551069e-02	1.05438564e-03	1.53358771e-04
0.00266         	1.22506124e-02	7.07354124e-03	8.96972023e-03	1.07579946e-02	1.04701399e-03	1.53314777e-04
0.00268         	1.21099028e-02	7.00794511e-03	8.93163924e-03	1.06564918e-02	1.04007998e-03	1.53243235e-04
0.0027          	1.19807432e-02	6.94579609e-03	8.89329735e-03	1.05581492e-02	1.03243201e-03	1.53245597e-04
0.00272         	1.18617767e-02	6.88800249e-03	8.85512316e-03	1.04688250e-02	1.02479623e-03	1.53276802e-04
0.00274         	1.17501008e-02	6.83565712e-03	8.82841196e-03	1.03869197e-02	1.01841768e-03	1.53324385e-04
0.00276         	1.16348561e-02	6.78061766e-03	8.80519904e-03	1.03074099e-02	1.01201464e-03	1.53445098e-04
0.00278         	1.15140505e-02	6.72249378e-03	8.77815160e-03	1.02189064e-02	1.00601532e-03	1.53566996e-04
0.0028          	1.14006970e-02	6.66959723e-03	8.74882349e-03	1.01327158e-02	9.99440693e-04	1.53701976e-04
0.00282         	1.12989174e-02	6.61369608e-03	8.70805171e-03	1.00505242e-02	9.93497340e-04	1.53768294e-04
0.00284         	1.11970991e-02	6.56741096e-03	8.67064991e-03	9.97842379e-03	9.86625106e-04	1.53879213e-04
0.00286         	1.10975847e-02	6.51948705e-03	8.64750407e-03	9.91036668e-03	9.82286028e-04	1.53848615e-04
0.00288         	1.09979617e-02	6.47246800e-03	8.62535212e-03	9.84021232e-03	9.81880771e-04	1.53562916e-04
0.0029          	1.09073762e-02	6.43004024e-03	8.60282093e-03	9.77216254e-03	9.77982966e-04	1.53561449e-04
0.00292         	1.08115749e-02	6.38392695e-03	8.57273087e-03	9.70499113e-03	9.74240206e-04	1.53540045e-04
0.00294         	1.07212790e-02	6.34075597e-03	8.54238439e-03	9.63147910e-03	9.71357571e-04	1.53478253e-04
0.00296         	1.06402022e-02	6.29445761e-03	8.50634725e-03	9.57063688e-03	9.67265398e-04	1.53503587e-04
0.00298         	1.05618188e-02	6.25058808e-03	8.47742942e-03	9.51278603e-03	9.62624463e-04	1.53572637e-04
0.003           	1.04798203e-02	6.21168633e-03	8.45566160e-03	9.45451180e-03	9.57395759e-04	1.53745420e-04
0.00302         	1.03954876e-02	6.17265447e-03	8.43393645e-03	9.39592389e-03	9.53078547e-04	1.53953043e-04
0.00304         	1.03095590e-02	6.13694842e-03	8.41248165e-03	9.33610684e-03	9.48439635e-04	1.54202146e-04
0.00306         	1.02348232e-02	6.10310756e-03	8.38649762e-03	9.27926794e-03	9.43947967e-04	1.54443896e-04
0.00308         	1.01659495e-02	6.06293189e-03	8.35527088e-03	9.22681763e-03	9.39724034e-04	1.54625936e-04
0.0031          	1.00964760e-02	6.02763744e-03	8.32360702e-03	9.17432108e-03	9.36220773e-04	1.54758436e-04
0.00312         	1.00329996e-02	5.98917516e-03	8.29966131e-03	9.12740092e-03	9.31685026e-04	1.54998090e-04
0.00314         	9.96669768e-03	5.95157060e-03	8.27660883e-03	9.07819223e-03	9.27216375e-04	1.55268265e-04
0.00316         	9.89807285e-03	5.91992587e-03	8.25754728e-03	9.03080703e-03	9.22679091e-04	1.55556435e-04
0.00318         	9.82568650e-03	5.88783834e-03	8.23659642e-03	8.98285086e-03	9.18687238e-04	1.55858174e-04
0.0032          	9.75857763e-03	5.85801325e-03	8.21746829e-03	8.93192440e-03	9.15039607e-04	1.56099089e-04
0.00322         	9.69925371e-03	5.83176649e-03	8.19051101e-03	8.88418765e-03	9.11296353e-04	1.56370230e-04
0.00324         	9.64504037e-03	5.79911533e-03	8.15958027e-03	8.84249915e-03	9.07389362e-04	1.56668103e-04
0.00326         	9.58830880e-03	5.76718559e-03	8.13420590e-03	8.80105330e-03	9.04124462e-04	1.56882590e-04
0.00328         	9.53591892e-03	5.73550560e-03	8.11475257e-03	8.76271821e-03	9.00709338e-04	1.57126029e-04
0.0033          	9.48237351e-03	5.70093451e-03	8.09652806e-03	8.72723518e-03	8.97433893e-04	1.57342667e-04
0.00332         	9.42758204e-03	5.67635624e-03	8.07761559e-03	8.68303232e-03	8.93878644e-04	1.57539947e-04
0.00334         	9.36980027e-03	5.65189279e-03	8.05868996e-03	8.64193076e-03	8.90225991e-04	1.57639441e-04
0.00336         	9.31309134e-03	5.62471977e-03	8.03813739e-03	8.59718273e-03	8.86647566e-04	1.57579140e-04
0.00338         	9.26235050e-03	5.59924956e-03	8.01083213e-03	8.55605958e-03	8.83046225e-04	1.57391686e-04
0.0034          	9.21927820e-03	5.57398223e-03	7.98743738e-03	8.52139406e-03	8.79736660e-04	1.57274855e-04
0.00342         	9.17569539e-03	5.54636942e-03	7.96514422e-03	8.49322141e-03	8.76589135e-04	1.57234888e-04
0.00344         	9.13031218e-03	5.52338626e-03	7.94707665e-03	8.46078928e-03	8.72814087e-04	1.56981085e-04
0.00346         	9.08393563e-03	5.49802627e-03	7.93091382e-03	8.42739151e-03	8.69577092e-04	1.56787523e-04
0.00348         	9.03475185e-03	5.47103400e-03	7.91553743e-03	8.39295474e-03	8.66072698e-04	1.56675394e-04
0.0035          	8.98752050e-03	5.44828896e-03	7.89399578e-03	8.35462198e-03	8.62969106e-04	1.56632169e-04
0.00352         	8.94601139e-03	5.42457326e-03	7.87129490e-03	8.32326914e-03	8.60270067e-04	1.56627918e-04
0.00354         	8.90318790e-03	5.39971101e-03	7.84876368e-03	8.29386326e-03	8.57087350e-04	1.56467369e-04
0.00356         	8.86632590e-03	5.37908004e-03	7.82923645e-03	8.26166961e-03	8.53956260e-04	1.56345408e-04
0.00358         	8.83002614e-03	5.36207784e-03	7.81029879e-03	8.23220294e-03	8.51274558e-04	1.56243694e-04
0.0036          	8.79345204e-03	5.34257573e-03	7.79457532e-03	8.20255711e-03	8.48266489e-04	1.56187588e-04
0.00362         	8.75500679e-03	5.32234476e-03	7.77834122e-03	8.17237326e-03	8.45971449e-04	1.56208450e-04
0.00364         	8.71151242e-03	5.29773931e-03	7.75779756e-03	8.14348851e-03	8.43588963e-04	1.56097852e-04
0.00366         	8.67404655e-03	5.27155591e-03	7.74338435e-03	8.11391246e-03	8.41459454e-04	1.55974363e-04
0.00368         	8.63957558e-03	5.25242359e-03	7.72253159e-03	8.08702425e-03	8.39607707e-04	1.55924313e-04
0.0037          	8.60840500e-03	5.23450324e-03	7.69869576e-03	8.06351219e-03	8.38106463e-04	1.55959639e-04
0.00372         	8.57272176e-03	5.21480495e-03	7.67689893e-03	8.04096981e-03	8.36837329e-04	1.56233851e-04
0.00374         	8.53882246e-03	5.19778822e-03	7.66495952e-03	8.01170329e-03	8.35670211e-04	1.56497560e-04
0.00376         	8.50645460e-03	5.18250617e-03	7.64863217e-03	7.98941187e-03	8.34279880e-04	1.56426202e-04
0.00378         	8.47326323e-03	5.16623164e-03	7.63553059e-03	7.96342743e-03	8.33315092e-04	1.56654858e-04
0.0038          	8.44563846e-03	5.14570177e-03	7.61798785e-03	7.93846341e-03	8.32731333e-04	1.57040424e-04
0.00382         	8.41318687e-03	5.12732336e-03	7.59879278e-03	7.91547360e-03	8.33042760e-04	1.57383448e-04
0.00384         	8.38120419e-03	5.10615263e-03	7.58078218e-03	7.88983582e-03	8.34170811e-04	1.57685023e-04
0.00386         	8.35171048e-03	5.08716944e-03	7.56483469e-03	7.86484738e-03	8.35022284e-04	1.57966606e-04
0.00388         	8.32297661e-03	5.07430836e-03	7.54377698e-03	7.84351278e-03	8.35672580e-04	1.58511240e-04
0.0039          	8.29475017e-03	5.05997198e-03	7.52374807e-03	7.82470599e-03	8.37047064e-04	1.59016813e-04
0.00392         	8.26634077e-03	5.04192647e-03	7.50973012e-03	7.80559851e-03	8.38810732e-04	1.59435396e-04
0.00394         	8.23778649e-03	5.02474284e-03	7.49784275e-03	7.78452336e-03	8.40810448e-04	1.59735910e-04
0.00396         	8.21173111e-03	5.00988460e-03	7.48357022e-03	7.76359056e-03	8.43694999e-04	1.59995465e-04
0.00398         	8.18810923e-03	4.99644107e-03	7.46959741e-03	7.74052253e-03	8.46564687e-04	1.60919588e-04
0.004           	8.16660158e-03	4.98184836e-03	7.45258469e-03	7.72256401e-03	8.49810925e-04	1.61555071e-04
0.00402         	8.14259915e-03	4.96585139e-03	7.43236507e-03	7.70475343e-03	8.53888119e-04	1.62134426e-04
0.00404         	8.11410381e-03	4.94800144e-03	7.41553672e-03	7.68330563e-03	8.58119879e-04	1.62585449e-04
0.00406         	8.08958361e-03	4.93355556e-03	7.40156079e-03	7.65977817e-03	8.62822098e-04	1.62472924e-04
0.00408         	8.06459514e-03	4.92223342e-03	7.38487602e-03	7.64176933e-03	8.68184984e-04	1.63218890e-04
0.0041          	8.04055891e-03	4.90896069e-03	7.36913502e-03	7.62615237e-03	8.74657054e-04	1.63996261e-04
0.00412         	8.01560502e-03	4.89290906e-03	7.35473402e-03	7.61185693e-03	8.80859909e-04	1.64525325e-04
0.00414         	7.99471586e-03	4.87725170e-03	7.33912338e-03	7.59509509e-03	8.87744440e-04	1.64663485e-04
0.00416         	7.97360511e-03	4.86506578e-03	7.32811196e-03	7.58040423e-03	8.95508239e-04	1.64251174e-04
0.00418         	7.95151861e-03	4.85426772e-03	7.31607567e-03	7.56279034e-03	9.03686446e-04	1.64365688e-04
0.0042          	7.92954171e-03	4.84124476e-03	7.29957302e-03	7.54203212e-03	9.12581470e-04	1.65255356e-04
0.00422         	7.91244385e-03	4.82900504e-03	7.28112982e-03	7.52368725e-03	9.22872798e-04	1.66103315e-04
0.00424         	7.89106364e-03	4.81555059e-03	7.26546029e-03	7.51051404e-03	9.33505317e-04	1.66620764e-04
0.00426         	7.86929045e-03	4.79936185e-03	7.25133277e-03	7.49301617e-03	9.45068242e-04	1.66490456e-04
0.00428         	7.85114386e-03	4.78667817e-03	7.23547961e-03	7.47730850e-03	9.57422782e-04	1.66228996e-04
0.0043          	7.83064462e-03	4.77785139e-03	7.22224896e-03	7.46105560e-03	9.70389888e-04	1.65559235e-04
0.00432         	7.81227550e-03	4.76661708e-03	7.20956825e-03	7.44524896e-03	9.85084033e-04	1.65749635e-04
0.00434         	7.79523460e-03	4.75437460e-03	7.19323978e-03	7.43444095e-03	1.00072586e-03	1.66586630e-04
0.00436         	7.77470105e-03	4.74247318e-03	7.18019593e-03	7.42084632e-03	1.01813637e-03	1.67183973e-04
0.00438         	7.75487324e-03	4.73174170e-03	7.16982144e-03	7.40553448e-03	1.03737369e-03	1.67342257e-04
0.0044          	7.73582573e-03	4.72094722e-03	7.15768014e-03	7.38762771e-03	1.05744754e-03	1.66421526e-04
0.00442         	7.71596684e-03	4.71002993e-03	7.14288872e-03	7.37199021e-03	1.08034805e-03	1.65501568e-04
0.00444         	7.70047542e-03	4.69834638e-03	7.12668519e-03	7.35974255e-03	1.10574014e-03	1.66112063e-04
0.00446         	7.68606879e-03	4.68484736e-03	7.10770756e-03	7.35206218e-03	1.13403922e-03	1.66480711e-04
0.00448         	7.66998194e-03	4.67137232e-03	7.09360852e-03	7.33949880e-03	1.16482288e-03	1.66393876e-04
0.0045          	7.65298517e-03	4.66108694e-03	7.07950302e-03	7.32332360e-03	1.19854689e-03	1.65953747e-04
0.00452         	7.63905045e-03	4.65447790e-03	7.06848895e-03	7.30892460e-03	1.23600170e-03	1.65348937e-04
0.00454         	7.62137294e-03	4.64646065e-03	7.05631179e-03	7.29686448e-03	1.27740824e-03	1.64559422e-04
0.00456         	7.60500077e-03	4.63545386e-03	7.04091987e-03	7.28619008e-03	1.32371031e-03	1.63735942e-04
0.00458         	7.58576644e-03	4.62491118e-03	7.02523904e-03	7.27162866e-03	1.37653803e-03	1.62844281e-04
0.0046          	7.56545495e-03	4.61549919e-03	7.01624321e-03	7.25619881e-03	1.43641251e-03	1.61930824e-04
0.00462         	7.54627575e-03	4.60700920e-03	7.00587569e-03	7.23987453e-03	1.50383423e-03	1.61057477e-04
